CleanTitle,title,media_type,popularity
John Wick,John Wick - De Volta ao Jogo,movie,11.0977
Nobody,Anônimo,movie,14.8144
Lost,Lost,tv,163.775
Jessica Jones,Marvel - Jessica Jones,tv,24.8884
Defensores,Marvel - Os Defensores,tv,11.6094
Luke Cage,Marvel - Luke Cage,tv,17.857
Punho de ferro,Marvel - Punho de Ferro,tv,6.3956
Oppenheimer,Oppenheimer,movie,25.2023
American Vandal,American Vandal,tv,7.2328
Dune 1,Duna,movie,31.5625
Dune 2,Duna: Parte Dois,movie,39.0371
O povo,Rebelde: Ladrão que Roubou o Povo,tv,5.86
8 mile,8 Mile: Rua das Ilusões,movie,9.4919
Para todos os garotos que já amei,Para Todos os Garotos que Já Amei,movie,7.1685
O menino que descobriu o vento,O Menino que Descobriu o Vento,movie,3.9892
A ilha das rosas,A Incrível História da Ilha das Rosas,movie,1.2764
Mad Max estrada da fúria,Mad Max: Estrada da Fúria,movie,16.306
O castelo animado,O Castelo Animado,movie,19.7769
Venom,Venom,movie,16.3896
Sementes podres,Sementes Podres,movie,1.0774
Atypical,Atypical,tv,15.3351
Kakegurui,KAKEGURUI TWIN,tv,13.5888
Death Note,Death Note,tv,116.6885
I am not okay with this,I Am Not Okay with This,tv,6.9878
O Gambito da rainha,O Gambito da Rainha,tv,15.8686
Amnésia,Amnésia,tv,7.2233
O diabo de cada dia,O Diabo de Cada Dia,movie,6.9853
Não olhe para cima,Não Olhe para Cima,movie,19.2512
The seven deadly sins,The Seven Deadly Sins: Os Quatro Cavaleiros do Apocalipse,tv,27.5384
Atlanta,Atlanta,tv,17.2526
Gente Grande,Gente Grande,movie,13.7708
Icarly,iCarly,tv,51.3539
Na Natureza Selvagem,Na Natureza Selvagem,movie,7.5359
Fuja,Fuja,movie,4.2252
Jumanji,Jumanji,tv,6.6534
Novocaine: a prova de dor,Novocaine: À Prova de Dor,movie,11.3954
Agents of shield,Agentes da S.H.I.E.L.D. da Marvel,tv,71.5219
Daybreak,Daybreak,tv,5.1692
Escola de rock,Escola de Rock,movie,6.3872
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,tv,57.2033
True Detective,True Detective,tv,59.0985
