,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime
3328,Ad Vitam,Ad Vitam,"[53, 18, 80, 28]",https://image.tmdb.org/t/p/w500/3ZqM7bLNmHdyj658gqtifrV5afl.jpg,movie,2.4607,1,6.228,423,98,,['FR'],['ambivalent'],Rodolphe Lauga,5,0,0,0,0,0,0,0
3329,American Son,American Son,[18],https://image.tmdb.org/t/p/w500/c88DNGNybhcCkCnM3uM7ycphRCY.jpg,movie,0.7511,18,4.125,20,90,,['US'],['marine'],Neil Abramson,5,0,0,0,0,0,0,0
3330,Billy on the Street,Billy on the Street,[35],https://image.tmdb.org/t/p/w500/uXglruQ9ymN9WPTjoAjrW8Zkt7d.jpg,tv,5.9472,15,6.6,24,"[21, 25]",5,['US'],"['new york city', 'pop culture', 'comedian', 'game show', 'interview', 'quiz', 'satire', 'trivia', 'improvised', 'satirical', 'comedy', 'on the spot', 'outlandish', 'man-on-the-street']",Billy Eichner,3,0,0,0,0,0,0,0
3331,Christmas in the Heartland,Christmas in the Heartland,[10751],https://image.tmdb.org/t/p/w500/IsZ70nRcxS9rcWNq65IM65EsVY.jpg,movie,0.7163,9,6.1,49,90,,['US'],"['horse', 'christmas']",Harvey Lowry,-1,1,0,0,0,0,0,0
3332,Christmas Survival,Sobrevivendo às Festas com os Parentes,[35],https://image.tmdb.org/t/p/w500/ti5T06zSxu0y4dUKYZe9Riuswfs.jpg,movie,0.5838,8,5.1,36,101,,['GB'],['christmas'],James Dearden,-1,1,0,0,0,0,0,0
3333,CLANNAD,Clannad,"[16, 35, 18, 10765]",https://image.tmdb.org/t/p/w500/cfhHgzzcpYjBzDGfiJJ3y6QBaUA.jpg,tv,17.3507,19,8.3,466,[24],2,['JP'],"['adolescence', 'supernatural', 'harem', 'romance', 'slice of life', 'coming of age', 'school', 'anime', 'school club', 'based on visual novel', 'family life']",,1,0,0,0,0,0,0,1
3334,Drive,Drive,"[18, 53, 80]",https://image.tmdb.org/t/p/w500/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,movie,9.5714,15,7.583,13393,96,,['US'],"['robbery', 'car mechanic', 'stuntman', 'beaten to death', 'revenge', 'organized crime', 'neighbor', 'police chase', 'los angeles, california', 'brutality', 'jacket', 'scorpion', 'toothpick', 'getaway driver', 'crime lord', 'stunt driver', 'existentialism', 'neo-noir', 'vindictive', 'hammer', 'bold']",Nicolas Winding Refn,5,0,0,0,0,0,0,0
3335,Fire in Paradise,Paradise em Chamas,[99],https://image.tmdb.org/t/p/w500/eD5CL8cZvOK0IDzscRNBVVKRjtK.jpg,movie,0.3739,7,6.855,38,39,,['US'],"['fire', 'short film']",Zackary Canepari,-1,0,0,0,0,0,0,0
3336,Haikyu!!,HAIKYU!!,"[16, 35, 18]",https://image.tmdb.org/t/p/w500/qNKaeunuUdL0smnowVVgShCkWZ4.jpg,tv,30.8792,12,8.609,1474,[24],4,['JP'],"['competition', 'training', 'volleyball', 'sports', 'high school', 'high school sports', 'rivalry', 'slice of life', 'tournament', 'bromance', 'based on manga', 'high school student', 'high school rivalry', 'school life', 'shounen', 'anime', 'school club', 'prodigy', 'japanese high school', 'teamwork', 'team sports', 'miyagi, japan', 'comforting', 'bukatsu']",,3,0,0,0,0,0,1,1
3337,Holiday in the Wild,Resgate do Coração,"[10749, 35]",https://image.tmdb.org/t/p/w500/owTUeJkO0A4k9o7zXrG8BVO1oeo.jpg,movie,1.2806,7,6.483,562,85,,['US'],"['elephant', 'safari', 'animals', 'african bush', 'christmas']",Ernie Barbarash,-1,1,0,0,0,0,0,0
3338,Holly Star,Tesouros de Família,[35],https://image.tmdb.org/t/p/w500/wgauwSUoC1KI6zwvoKOr4umWZtm.jpg,movie,0.5953,8,5.7,17,91,,['US'],['christmas'],Michael A. Nickles,1,1,0,0,0,0,0,0
3339,"Love, Chunibyo & Other Delusions!","Love, Chunibyo & Other Delusions!","[16, 35]",https://image.tmdb.org/t/p/w500/3K20upYT0fyGUEVbOPQgxN5FSFU.jpg,tv,9.0455,14,8.1,409,[24],2,['JP'],"['adolescence', 'romance', 'slice of life', 'school', 'anime', 'school club', 'japanese high school', 'based on light novel', 'enthusiastic']",,3,0,0,0,0,0,0,1
3340,Maid-Sama!,Kaichou wa Maid-sama!,"[16, 35]",https://image.tmdb.org/t/p/w500/kYP6kFq79cuyKbGXuHPqhSexT7R.jpg,tv,12.2779,16,8.5,612,[25],1,['JP'],"['high school', 'romcom', 'romance', 'coming of age', 'school', 'cross dressing', 'maid', 'based on manga', 'school life', 'shoujo', 'anime', 'japanese high school', 'love polygon', 'working life']",,3,0,0,0,0,0,1,1
